nodes,master,rs
10,136.732421875,292.9980469
20,136.732421875,595.7626953
30,166.0322265625,869.2275391
40,156.265625,1240.358398
50,166.0322265625,1474.756836
60,156.265625,1797.054688
70,166.0322265625,2217.018555
80,166.0322265625,2607.682617
90,175.798828125,2959.280273
100,166.0322265625,3349.944336
