nodes,nn,dn
10,58.599609375,195.3320313
20,48.8330078125,400.4306641
30,48.8330078125,595.7626953
40,48.8330078125,820.3945313
50,48.8330078125,1015.726563
60,48.8330078125,1211.058594
70,48.8330078125,1435.69043
80,48.8330078125,1611.489258
90,58.599609375,1826.354492
100,48.8330078125,2031.453125
